Ward,Searches,Searches_Got_Estimate,Searches_For_Quotes,Searches_Got_Quotes,Bookings,Completed_Trips,Search_To_Estimate_Rate,Estimate_To_Quote_Search_Rate,Quote_Acceptance_Rate,Quote_To_Booking_Rate,Cancelled_Bookings,Booking_Cancellation_Rate,Conversion_Rate,Drivers_Earnings,Average_Distance_Per_Trip_Km,Average_Fare_Per_Trip,Distance_Travelled_Km,Is_Bangalore_Total,Completion_Rate_From_Bookings,Fare_Per_Km,Earnings_Per_Completed_Trip,Distance_Per_Completed_Trip_Km,Booking_to_Search_Rate,Searches_Percentile,Bookings_Percentile,Completed_Trips_Percentile,Conversion_Rate_Percentile,Booking_Cancellation_Rate_Percentile,Average_Fare_Per_Trip_Percentile,Average_Distance_Per_Trip_Km_Percentile,Drivers_Earnings_Percentile,Demand_Quartile,Conversion_Quartile,Cancellation_Quartile
Other Wards,3071626,2712391,1890877,975708,954414,589585,88.3,69.7,51.6,97.8,364609,38.2,19.2,120007713,10.37,175.04,7190364,False,61.774554857745166,16.879459980713598,203.5460756294682,12.19563591339671,31.071946910203263,100.0,100.0,100.0,2.8688524590163933,68.44262295081968,97.95081967213115,98.36065573770492,100.0,Very High,Low,High
Shantala Nagar,2401161,2384599,2067653,856568,841607,474271,99.3,86.7,41.4,98.3,367010,43.6,19.8,71177412,7.48,138.74,3863534,False,56.35302463026092,18.548128342245988,150.07751264572366,8.146258151984835,35.05000289443315,99.59016393442623,99.59016393442623,99.59016393442623,3.6885245901639343,91.59836065573771,68.44262295081968,59.63114754098361,99.59016393442623,Very High,Low,Very High
Doddakanahalli,1727250,1711471,1456511,596480,587089,350792,99.1,85.1,40.9,98.4,236139,40.2,20.3,59211778,9.02,159.54,3354728,False,59.75107692360102,17.687361419068736,168.79455061688978,9.56329676845538,33.989810392242006,99.18032786885246,99.18032786885246,99.18032786885246,4.098360655737705,79.50819672131148,92.62295081967213,92.00819672131148,99.18032786885246,Very High,Low,Very High
Agara,1226026,1214797,1043176,520539,508562,336728,99.1,85.9,49.9,97.7,171714,33.8,27.5,47568017,7.63,137.67,2633026,False,66.21178931968964,18.043250327653997,141.26540412439715,7.819444774417334,41.48052325154605,97.95081967213115,97.54098360655738,98.77049180327869,32.37704918032787,39.549180327868854,66.39344262295081,63.729508196721305,98.77049180327869,Very High,Moderate,Moderate
Koramangala,1169452,1158300,994218,528008,515062,334904,99.1,85.8,53.1,97.5,180001,34.9,28.6,44596808,6.97,128.74,2437405,False,65.02207501232861,18.47058823529412,133.16296013185868,7.27792143420204,44.04302185981126,97.1311475409836,97.95081967213115,98.36065573770492,35.86065573770492,48.5655737704918,48.77049180327869,40.57377049180328,97.95081967213115,Very High,Moderate,Moderate
Adugodi,1191234,1182173,1005962,536543,522711,313312,99.2,85.1,53.3,97.4,209053,40.0,26.3,43890701,7.02,131.45,2338615,False,59.93981377855068,18.725071225071225,140.08624310591358,7.464173092636094,43.879791879681065,97.54098360655738,98.36065573770492,97.95081967213115,27.86885245901639,78.68852459016394,55.73770491803278,44.26229508196721,97.54098360655738,Very High,Moderate,Very High
Suddagunte Palya,1320628,1308932,1126624,542706,530825,296399,99.1,86.1,48.2,97.8,234284,44.1,22.4,39411590,7.11,129.98,2174999,False,55.83742287948006,18.281293952180025,132.96802620791567,7.338078063691173,40.19489212707894,98.36065573770492,98.77049180327869,97.54098360655738,9.631147540983607,93.44262295081968,51.229508196721305,46.31147540983606,97.1311475409836,Very High,Low,Very High
Vasanth Nagar,962005,955421,795373,423856,416058,262534,99.3,83.2,53.3,98.2,153393,36.9,27.3,35920222,7.4,132.98,2032705,False,63.10033697224906,17.97027027027027,136.82121934682746,7.742635239626106,43.249047562122854,95.90163934426229,96.72131147540983,97.1311475409836,30.737704918032787,62.295081967213115,60.245901639344254,57.17213114754098,96.72131147540983,Very High,Moderate,High
Bellanduru,1365703,1354563,1176030,447575,440185,257849,99.2,86.8,38.1,98.3,182240,41.4,18.9,44694374,9.17,160.63,2550817,False,58.57741631359542,17.51690294438386,173.33545602271096,9.892677497294928,32.23138559408598,98.77049180327869,97.1311475409836,96.72131147540983,2.2540983606557377,86.27049180327869,93.85245901639344,94.26229508196722,98.36065573770492,Very High,Low,Very High
Hoysala Nagar,703222,698197,586782,331654,326166,217110,99.3,84.0,56.5,98.3,108961,33.4,30.9,27898914,6.37,119.8,1504039,False,66.5642648222071,18.80690737833595,128.50128506287135,6.927543641472065,46.381654726387964,94.26229508196722,95.49180327868852,96.31147540983606,45.69672131147541,35.86065573770492,28.688524590163933,18.647540983606557,93.85245901639344,Very High,Moderate,Moderate
Byrasandra,624214,618914,500722,314383,308615,208058,99.2,80.9,62.8,98.2,100479,32.6,33.3,24700142,6.28,113.2,1372034,False,67.41668421820067,18.02547770700637,118.71757875207875,6.594478462736352,49.44057646896737,91.39344262295081,93.85245901639344,95.90163934426229,59.42622950819673,30.327868852459016,13.114754098360656,14.754098360655737,92.21311475409836,Very High,High,Moderate
Old Thippasandra,633865,628921,541589,315579,310219,203512,99.2,86.1,58.3,98.3,106602,34.4,32.1,27716600,7.01,129.86,1493473,False,65.60268713392796,18.524964336661913,136.19147765242346,7.33850092377845,48.9408628020162,92.62295081967213,94.67213114754098,95.49180327868852,51.84426229508197,43.23770491803279,50.409836065573764,43.44262295081967,93.0327868852459,Very High,High,Moderate
Marathahalli,1129332,1120935,942426,375796,369706,202837,99.3,84.1,39.9,98.4,166767,45.1,18.0,35748713,9.01,160.03,2011710,False,54.86440577107214,17.761376248612653,176.24355023984776,9.917865083786488,32.73669744592379,96.72131147540983,96.31147540983606,95.08196721311475,1.639344262295082,95.28688524590164,93.0327868852459,91.39344262295081,96.31147540983606,Very High,Low,Very High
Domlur,703108,698041,602252,313868,308639,201305,99.3,86.3,52.1,98.3,107215,34.7,28.6,28037082,7.06,130.78,1507904,False,65.22344875404599,18.524079320113316,139.2766299893197,7.4906435508308284,43.89638576150464,93.85245901639344,94.26229508196722,94.67213114754098,35.86065573770492,45.90163934426229,53.68852459016394,45.08196721311475,94.67213114754098,Very High,Moderate,Moderate
HRBR Layout,495908,493395,399052,284677,280474,194414,99.5,80.9,71.3,98.5,85982,30.7,39.2,24694375,6.66,120.75,1365275,False,69.31622895526857,18.13063063063063,127.0195304864876,7.022513810733795,56.55766795453996,85.65573770491804,91.80327868852459,94.26229508196722,84.42622950819673,15.983606557377051,31.557377049180328,29.098360655737704,91.80327868852459,Very High,Very High,Low
Sampangiram Nagar,918287,911485,763612,361001,355542,188850,99.3,83.8,47.3,98.5,166584,46.9,20.6,28029607,7.69,137.83,1592800,False,53.116087550837875,17.92327698309493,148.4225946518401,8.434207042626424,38.71796072469718,95.49180327868852,95.90163934426229,93.85245901639344,4.918032786885246,96.72131147540983,66.80327868852459,65.98360655737704,94.26229508196722,Very High,Low,Very High
Madivala,751268,742961,621190,322177,315216,187691,98.9,83.6,51.9,97.8,127466,40.4,25.0,23498153,6.69,123.51,1283390,False,59.543614537333134,18.46188340807175,125.19594972587923,6.837781246836556,41.9578632392169,94.67213114754098,95.08196721311475,93.44262295081968,23.15573770491803,80.5327868852459,37.704918032786885,31.147540983606557,90.57377049180327,Very High,Low,Very High
Gandhinagar,583453,577642,409590,298294,292759,183335,99.0,70.9,72.8,98.1,109334,37.4,31.4,27800422,8.46,153.09,1574607,False,62.62318152473536,18.095744680851062,151.63728693375515,8.588687375569313,50.17696369716156,88.9344262295082,93.0327868852459,93.0327868852459,48.97540983606557,65.77868852459017,87.29508196721312,81.55737704918032,93.44262295081968,Very High,Moderate,High
Aramane Nagara,546489,542221,416957,285980,279386,180884,99.2,76.9,68.6,97.7,98438,35.2,33.1,24979189,7.22,128.38,1425382,False,64.74340160208457,17.781163434903046,138.09507197983237,7.880088896751509,51.12381036031832,87.70491803278688,91.39344262295081,92.62295081967213,58.606557377049185,50.81967213114754,47.950819672131146,50.0,92.62295081967213,Very High,High,High
Jakkuru,629076,624824,485812,297748,291553,179670,99.3,77.8,61.3,97.9,111831,38.4,28.6,29913410,8.89,154.35,1743306,False,61.62515906198873,17.362204724409448,166.49084432570825,9.702821840040073,46.34622843662769,91.80327868852459,92.62295081967213,92.21311475409836,35.86065573770492,69.26229508196722,88.9344262295082,88.9344262295082,95.90163934426229,Very High,Moderate,High
Vinayakanagar,564655,559717,461557,280715,275406,173474,99.1,82.5,60.8,98.1,101845,37.0,30.7,23202000,7.48,133.85,1292724,False,62.98846067260698,17.894385026737964,133.74914972848958,7.4519755121805,48.77420725929993,88.52459016393442,90.98360655737704,91.80327868852459,43.44262295081967,63.31967213114754,62.295081967213115,59.63114754098361,90.1639344262295,Very High,Moderate,High
J P Nagar,526581,522247,423506,272513,266903,172802,99.2,81.1,64.3,97.9,93999,35.2,32.8,21453148,6.45,116.66,1186151,False,64.74337118728528,18.086821705426356,124.14872513049617,6.864220321524057,50.68602930983077,86.88524590163934,90.1639344262295,91.39344262295081,55.73770491803278,50.81967213114754,20.901639344262296,21.311475409836063,88.11475409836066,Very High,High,High
Whitefield,838663,831606,684364,286103,281317,170977,99.2,82.3,41.8,98.3,110293,39.2,20.4,29280129,8.52,151.14,1679399,False,60.77734370834326,17.739436619718308,171.2518584370997,9.822367920831457,33.54350913298906,95.08196721311475,92.21311475409836,90.98360655737704,4.508196721311475,73.77049180327869,85.24590163934425,83.60655737704919,95.08196721311475,Very High,Low,High
Munnekollala,993367,983688,831207,302856,297146,166505,99.0,84.5,36.4,98.1,130590,44.0,16.8,29576393,9.04,159.13,1687327,False,56.03474386328606,17.602876106194692,177.63065973994776,10.133791778024683,29.913013015330687,96.31147540983606,93.44262295081968,90.57377049180327,1.2295081967213115,93.0327868852459,92.21311475409836,92.82786885245902,95.49180327868852,Very High,Low,Very High
Ejipura,595161,589132,496076,273619,268768,163779,99.0,84.2,55.2,98.2,104902,39.0,27.5,21092572,6.47,122.29,1148191,False,60.936941897844974,18.90108191653787,128.78679195745485,7.010611861105514,45.15887297722801,90.1639344262295,90.57377049180327,90.1639344262295,32.37704918032787,72.74590163934425,35.65573770491803,21.721311475409834,87.29508196721312,Very High,Moderate,High
Jeevanbhima Nagar,658033,652625,563304,269919,264220,160433,99.2,86.3,47.9,97.9,103743,39.3,24.4,24369066,8.39,149.77,1367391,False,60.71947619408069,17.851013110846246,151.89559504590702,8.523128034755942,40.153001445216276,93.0327868852459,89.75409836065575,89.75409836065575,19.262295081967213,74.79508196721312,84.01639344262296,79.71311475409836,91.39344262295081,Very High,Low,High
Kempapura,467690,464839,360926,240038,235067,150852,99.4,77.6,66.5,97.9,84173,35.8,32.3,22886452,8.28,145.63,1322285,False,64.17404399596711,17.58816425120773,151.71460769495928,8.7654456023122,50.261284183968016,82.78688524590164,88.52459016393442,89.34426229508196,53.68852459016394,54.91803278688525,77.8688524590164,77.45901639344262,89.75409836065575,Very High,High,High
HSR - Singasandra,633334,627352,520343,255679,250108,145339,99.1,82.9,49.1,97.8,104704,41.9,22.9,21487915,7.91,141.29,1209859,False,58.11049626561326,17.862199747155497,147.84686147558466,8.324393314939556,39.490695272952344,92.21311475409836,89.34426229508196,88.9344262295082,13.319672131147541,88.9344262295082,71.72131147540983,70.69672131147541,88.52459016393442,Very High,Low,Very High
Shakambari Nagar,404779,401530,310798,215522,211098,143850,99.2,77.4,69.3,97.9,67203,31.8,35.5,16847054,6.29,114.15,935402,False,68.14370576698974,18.14785373608903,117.11542579075426,6.502620785540493,52.15142089881145,81.9672131147541,85.65573770491804,88.52459016393442,70.69672131147541,23.565573770491806,16.39344262295082,15.163934426229508,80.32786885245902,Very High,High,Low
New Thippasandra,514162,509398,430195,216416,212511,141334,99.1,84.5,50.3,98.2,71126,33.5,27.5,20334402,7.57,135.66,1138133,False,66.5066749485909,17.920739762219284,143.87480719430567,8.052789845330919,41.3315258614989,86.0655737704918,86.0655737704918,88.11475409836066,32.37704918032787,36.885245901639344,63.52459016393443,62.295081967213115,86.0655737704918,Very High,Moderate,Moderate
Hudi,624101,619409,505072,241433,237996,139066,99.3,81.5,47.8,98.6,98878,41.5,22.3,24067402,8.59,152.37,1376861,False,58.43207448864687,17.738067520372528,173.0646024189953,9.900773733335251,38.1342122509017,90.98360655737704,88.9344262295082,87.70491803278688,8.811475409836065,87.29508196721312,86.88524590163934,85.24590163934425,90.98360655737704,Very High,Low,Very High
Ulsoor,591305,586928,509987,234286,231034,137688,99.3,86.9,45.9,98.6,93291,40.4,23.3,19496628,7.28,132.34,1087433,False,59.59642303730187,18.178571428571427,141.60005229213874,7.8978051827319735,39.07188337659922,89.34426229508196,88.11475409836066,87.29508196721312,15.163934426229508,80.5327868852459,58.19672131147541,53.68852459016394,84.8360655737705,Very High,Low,Very High
Horamavu,474215,471298,373096,217363,213193,134402,99.4,79.2,58.3,98.1,78766,37.0,28.3,21419228,8.54,149.94,1243702,False,63.04240758373868,17.557377049180328,159.36688442136278,9.253597416705109,44.95703425661356,84.8360655737705,86.47540983606558,86.88524590163934,33.40163934426229,63.31967213114754,84.42622950819673,84.01639344262296,87.70491803278688,Very High,Moderate,High
C V Raman Nagar,553745,549626,443121,223614,220398,133108,99.3,80.6,50.5,98.6,87237,39.6,24.0,18927535,7.35,132.29,1061714,False,60.39437744444142,17.998639455782314,142.19682513447728,7.9763350061604115,39.80135260814996,88.11475409836066,86.88524590163934,86.47540983606558,17.62295081967213,76.63934426229508,57.786885245901644,56.35245901639344,84.42622950819673,Very High,Low,Very High
BTM Layout,592216,586375,486876,231084,225865,131673,99.0,83.0,47.5,97.7,94148,41.7,22.2,17159245,6.85,126.39,944612,False,58.29721293693135,18.45109489051095,130.31711132882216,7.173923279639713,38.13895605657395,89.75409836065575,87.70491803278688,86.0655737704918,7.786885245901639,88.52459016393442,44.26229508196721,36.885245901639344,80.73770491803278,Very High,Low,Very High
AECS Layout,676398,671200,554146,225651,222152,131372,99.2,82.6,40.7,98.4,90735,40.8,19.4,21664546,7.79,141.87,1221715,False,59.136087003493095,18.21181001283697,164.9099199220534,9.299660506043907,32.84338510758459,93.44262295081968,87.29508196721312,85.65573770491804,3.278688524590164,83.19672131147541,72.1311475409836,68.0327868852459,89.34426229508196,Very High,Low,Very High
Banasavadi,399496,396889,320276,196872,193129,129571,99.4,80.7,61.5,98.1,63520,32.9,32.4,18119313,7.33,131.58,1027738,False,67.0903903608469,17.950886766712145,139.84080542714034,7.931852034791736,48.343162384604604,80.73770491803278,83.60655737704919,85.24590163934425,54.50819672131148,31.557377049180328,56.14754098360656,55.5327868852459,83.60655737704919,Very High,High,Moderate
Hennur,415505,412861,318728,206331,202957,129335,99.4,77.2,64.7,98.4,73580,36.3,31.1,18050307,7.26,130.63,1026125,False,63.7253211271353,17.993112947658403,139.56243089650906,7.933853945181119,48.845862263992004,82.37704918032787,84.8360655737705,84.8360655737705,47.540983606557376,57.377049180327866,52.86885245901639,53.07377049180327,82.78688524590164,Very High,Moderate,High
N S Palya,467723,462917,382404,202109,197602,128229,99.0,82.6,52.8,97.8,69328,35.1,27.4,16804588,7.29,131.77,932215,False,64.89256181617596,18.07544581618656,131.05138463218148,7.269923340274041,42.24765512921109,83.19672131147541,84.42622950819673,84.42622950819673,31.557377049180328,49.795081967213115,56.557377049180324,54.09836065573771,79.91803278688525,Very High,Moderate,Moderate
Dodda Nekkundi,607388,602318,496200,214444,210757,127586,99.2,82.4,43.2,98.3,83119,39.4,21.0,21582457,8.44,148.42,1235186,False,60.537016564099886,17.585308056872037,169.16007242173907,9.681203266816109,34.69890745289666,90.57377049180327,85.24590163934425,84.01639344262296,5.532786885245901,75.40983606557377,81.14754098360656,80.94262295081968,88.9344262295082,Very High,Low,Very High
Jnana Bharathi,319314,316723,227074,186083,182666,125721,99.2,71.7,82.0,98.2,56904,31.1,39.4,16382506,7.13,124.87,947899,False,68.82561615188376,17.513323983169705,130.30842898163394,7.539702993135594,57.205759847673455,74.18032786885246,79.91803278688525,83.60655737704919,85.45081967213115,17.62295081967213,40.57377049180328,47.74590163934426,79.09836065573771,High,Very High,Low
